年末	ねんまつ	Fin de l'année			<span class="kanji">年末<span class="furigana">ねんまつ</span></span>			
末代	まつだい	Âges à venir; éternité			<span class="kanji">末代<span class="furigana">まつだい</span></span>			
末っ子	すえっこ	Benjamin, le plus jeune (de la famille)		7	<span class="kanji">末<span class="furigana">すえ</span></span>っ<span class="kanji">子<span class="furigana">こ</span></span>			
未来	みらい	Futur			<span class="kanji">未来<span class="furigana">みらい</span></span>			
未知	みち	Inconnu			<span class="kanji">未知<span class="furigana">みち</span></span>			
前代未聞	ぜんだいみもん	Inouï, sans précédent	4		<span class="kanji">前代未聞<span class="furigana">ぜんだいみもん</span></span>			
未満	みまん	Moins de, inférieur à			<span class="kanji">未満<span class="furigana">みまん</span></span>			
未明	みめい	Avant l'aube, point du jour			<span class="kanji">未明<span class="furigana">みめい</span></span>			
味	あじ	Goût			<span class="kanji">味<span class="furigana">あじ</span></span>			
味わう	あじわう	Goûter, savourer, apprécier			<span class="kanji">味<span class="furigana">あじ</span></span>わう			
意味	いみ	Signification, sens			<span class="kanji">意味<span class="furigana">いみ</span></span>			
正味	しょうみ	Net (poids/prix/quantité)			<span class="kanji">正味<span class="furigana">しょうみ</span></span>			
不気味	ぶきみ	Inquiétant, sinistre			<span class="kanji">不気味<span class="furigana">ぶきみ</span></span>			
地味	じみ	Sobre, modeste			<span class="kanji">地味<span class="furigana">じみ</span></span>			
三味線	しゃみせん	Shamisen (instrument à 3 cordes)			<span class="kanji">三味線<span class="furigana">しゃみせん</span></span>			
社	やしろ	Sanctuaire shintô			<span class="kanji">社<span class="furigana">やしろ</span></span>			
社会	しゃかい	Société, social			<span class="kanji">社会<span class="furigana">しゃかい</span></span>			
会社	かいしゃ	Société, entreprise			<span class="kanji">会社<span class="furigana">かいしゃ</span></span>			
本社	ほんしゃ	Notre société; siège social; ce/notre sanctuaire; sanctuaire principal			<span class="kanji">本社<span class="furigana">ほんしゃ</span></span>			
社長	しゃちょう	Directeur de société			<span class="kanji">社長<span class="furigana">しゃちょう</span></span>			
社員	しゃいん	Employé (d'une société); associé			<span class="kanji">社員<span class="furigana">しゃいん</span></span>			
申す	もうす	Informer; dire; s'appeler			<span class="kanji">申<span class="furigana">もう</span></span>す			
答申	とうしん	Rapport			<span class="kanji">答申<span class="furigana">とうしん</span></span>			
上申	じょうしん	Rapport (à un supérieur)			<span class="kanji">上申<span class="furigana">じょうしん</span></span>			
内申	ないしん	Rapport confidentiel/inofficiel			<span class="kanji">内申<span class="furigana">ないしん</span></span>			
申し入れ	もうしいれ	Offre, proposition; rapport			<span class="kanji">申<span class="furigana">もう</span></span>し<span class="kanji">入<span class="furigana">い</span></span>れ			
申し合わせ	もうしあわせ	Accord, entente; rendez-vous			<span class="kanji">申<span class="furigana">もう</span></span>し<span class="kanji">合<span class="furigana">あ</span></span>わせ			
神	かみ	Dieu, divinité, déité			<span class="kanji">神<span class="furigana">かみ</span></span>			
神道	しんとう	Shintô, shintoïsme			<span class="kanji">神道<span class="furigana">しんとう</span></span>			
神社	じんじゃ	Sanctuaire shintô			<span class="kanji">神社<span class="furigana">じんじゃ</span></span>			
神話	しんわ	Mythe, mythologie, légende			<span class="kanji">神話<span class="furigana">しんわ</span></span>			
神父	しんぷ	Prêtre (catholique), Père			<span class="kanji">神父<span class="furigana">しんぷ</span></span>			
神風	かみかぜ	Vent divin, kamikaze			<span class="kanji">神風<span class="furigana">かみかぜ</span></span>			
失う	うしなう	Perdre			<span class="kanji">失<span class="furigana">うしな</span></span>う			
失業	しつぎょう	Chômage			<span class="kanji">失業<span class="furigana">しつぎょう</span></span>			
失意	しつい	Déception, découragement			<span class="kanji">失意<span class="furigana">しつい</span></span>			
失神	しっしん	Évanouissement, syncope			<span class="kanji">失神<span class="furigana">しっしん</span></span>			
失恋	しつれん	Amour déçu, chagrin amoureux			<span class="kanji">失恋<span class="furigana">しつれん</span></span>			
見失う	みうしなう	Perdre de vue			<span class="kanji">見失<span class="furigana">みうしな</span></span>う			
鉄	てつ	Fer			<span class="kanji">鉄<span class="furigana">てつ</span></span>			
鉄道	てつどう	Chemin de fer			<span class="kanji">鉄道<span class="furigana">てつどう</span></span>			
地下鉄	ちかてつ	Métro			<span class="kanji">地下鉄<span class="furigana">ちかてつ</span></span>			
私鉄	してつ	Chemin de fer privé			<span class="kanji">私鉄<span class="furigana">してつ</span></span>			
鉄かぶと	てつかぶと	Casque en acier			<span class="kanji">鉄<span class="furigana">てつ</span></span>かぶと			
銀	ぎん	Argent (métal)			<span class="kanji">銀<span class="furigana">ぎん</span></span>			
銀行	ぎんこう	Banque			<span class="kanji">銀行<span class="furigana">ぎんこう</span></span>			
日銀	にちぎん	La Banque du Japon			<span class="kanji">日銀<span class="furigana">にちぎん</span></span>			
銀色	ぎんいろ	Argenté, couleur argent			<span class="kanji">銀色<span class="furigana">ぎんいろ</span></span>			
水銀	すいぎん	Mercure			<span class="kanji">水銀<span class="furigana">すいぎん</span></span>			
銀メダル	ぎんメダル	Médaille d'argent			<span class="kanji">銀<span class="furigana">ぎん</span></span>メダル			
根	ね	Racine, base, origine			<span class="kanji">根<span class="furigana">ね</span></span>			
大根	だいこん	Radis chinois/blanc			<span class="kanji">大根<span class="furigana">だいこん</span></span>			
根本的	こんぽんてき	Radical; fondamentalement			<span class="kanji">根本的<span class="furigana">こんぽんてき</span></span>			
根気	こんき	Patience, persévérance			<span class="kanji">根気<span class="furigana">こんき</span></span>			
屋根	やね	Toit			<span class="kanji">屋根<span class="furigana">やね</span></span>			
根強い	ねづよい	Enraciné, tenace			<span class="kanji">根強<span class="furigana">ねづよ</span></span>い			
夫	おっと	Mari, époux			<span class="kanji">夫<span class="furigana">おっと</span></span>			
夫人	ふじん	Femme, dame, Mme			<span class="kanji">夫人<span class="furigana">ふじん</span></span>			
人夫	にんぷ	Manoeuvre, homme de peine			<span class="kanji">人夫<span class="furigana">にんぷ</span></span>			
水夫	すいふ	Marin, matelot			<span class="kanji">水夫<span class="furigana">すいふ</span></span>			
工夫	こうふ	Ouvrier			<span class="kanji">工夫<span class="furigana">こうふ</span></span>			
工夫	くうふ	Moyen, idée, ingéniosité			<span class="kanji">工夫<span class="furigana">くうふ</span></span>			
夫婦	ふうふ	Mari et femme, couple			<span class="kanji">夫婦<span class="furigana">ふうふ</span></span>			
主婦	しゅふ	Femme au foyer			<span class="kanji">主婦<span class="furigana">しゅふ</span></span>			
婦人	ふじん	Femme, dame			<span class="kanji">婦人<span class="furigana">ふじん</span></span>			
婦女(子)	ふじょ(し)	Femme			<span class="kanji">婦女<span class="furigana">ふじょ</span></span>(<span class="kanji">子<span class="furigana">し</span></span>)			
婦長	ふちょう	Infirmière en chef			<span class="kanji">婦長<span class="furigana">ふちょう</span></span>			
帰る	かえる	Retourner, rentrer			<span class="kanji">帰<span class="furigana">かえ</span></span>る			
帰す	かえす	Renvoyer qqn chez soi			<span class="kanji">帰<span class="furigana">かえ</span></span>す			
帰国	きこく	Retour dans son pays			<span class="kanji">帰国<span class="furigana">きこく</span></span>			
帰宅	きたく	Retour chez soi			<span class="kanji">帰宅<span class="furigana">きたく</span></span>			
帰路	きろ	Chemin de retour			<span class="kanji">帰路<span class="furigana">きろ</span></span>			
帰化	きか	Naturalisation			<span class="kanji">帰化<span class="furigana">きか</span></span>			
日帰り	ひがえり	Faire l'aller-retour en une journée			<span class="kanji">日帰<span class="furigana">ひがえ</span></span>り			
支える	ささえる	Soutenir, supporter			<span class="kanji">支<span class="furigana">ささ</span></span>える			
支出	ししゅつ	Dépenses, frais			<span class="kanji">支出<span class="furigana">ししゅつ</span></span>			
支社	ししゃ	Succursale, agence			<span class="kanji">支社<span class="furigana">ししゃ</span></span>			
支店	してん	Filiale, succursale (magasin)			<span class="kanji">支店<span class="furigana">してん</span></span>			
支部	しぶ	Section locale, subdivision			<span class="kanji">支部<span class="furigana">しぶ</span></span>			
支流	しりゅう	Affluent			<span class="kanji">支流<span class="furigana">しりゅう</span></span>			
料理	りょうり	Cuisinier, cuisine; plat, mets			<span class="kanji">料理<span class="furigana">りょうり</span></span>			
原料	げんりょう	Matières premières			<span class="kanji">原料<span class="furigana">げんりょう</span></span>			
料金	りょうきん	Prix, frais, tarif			<span class="kanji">料金<span class="furigana">りょうきん</span></span>			
手数料	てすうりょう	Commission, frais			<span class="kanji">手数料<span class="furigana">てすうりょう</span></span>			
有料	ゆうりょう	Payant			<span class="kanji">有料<span class="furigana">ゆうりょう</span></span>			
無料	むりょう	Gratuit			<span class="kanji">無料<span class="furigana">むりょう</span></span>			
科学	かがく	Science			<span class="kanji">科学<span class="furigana">かがく</span></span>			
理科	りか	Sciences; faculté des sciences			<span class="kanji">理科<span class="furigana">りか</span></span>			
外科	げか	Chirurgie			<span class="kanji">外科<span class="furigana">げか</span></span>			
産婦人科医	さんふじんかい	Gynécologue			<span class="kanji">産婦人科医<span class="furigana">さんふじんかい</span></span>			
教科書	きょうかしょ	Manuel scolaire, livre de classe			<span class="kanji">教科書<span class="furigana">きょうかしょ</span></span>			
良い	よい	Bien, bon, convenable			<span class="kanji">良<span class="furigana">よ</span></span>い			
良好	りょうこう	Bien, favorable, satisfaisant			<span class="kanji">良好<span class="furigana">りょうこう</span></span>			
良質	りょうしつ	Bonne qualité			<span class="kanji">良質<span class="furigana">りょうしつ</span></span>			
最良	さいりょう	Le meilleur			<span class="kanji">最良<span class="furigana">さいりょう</span></span>			
不良	ふりょう	Mauvais; délinquant			<span class="kanji">不良<span class="furigana">ふりょう</span></span>			
良心	りょうしん	Conscience			<span class="kanji">良心<span class="furigana">りょうしん</span></span>			
食べる	たべる	Manger			<span class="kanji">食<span class="furigana">た</span></span>べる			
食う	くう	Manger, bouffer			<span class="kanji">食<span class="furigana">く</span></span>う			
食らう	くらう	Manger, bouffer			<span class="kanji">食<span class="furigana">く</span></span>らう			
食事	しょくじ	Repas			<span class="kanji">食事<span class="furigana">しょくじ</span></span>			
食料品	しょくりょうひん	Produits alimentaires			<span class="kanji">食料品<span class="furigana">しょくりょうひん</span></span>			
和食	わしょく	Cuisine japonaise			<span class="kanji">和食<span class="furigana">わしょく</span></span>			
洋食	ようしょく	Cuisine occidentale			<span class="kanji">洋食<span class="furigana">ようしょく</span></span>			
夕食	ゆうしょく	Dîner, repas du soir			<span class="kanji">夕食<span class="furigana">ゆうしょく</span></span>			
食べ物	たべもの	Nourriture, aliment			<span class="kanji">食<span class="furigana">た</span></span>べ<span class="kanji">物<span class="furigana">もの</span></span>			
飲む	のむ	Boire			<span class="kanji">飲<span class="furigana">の</span></span>む			
飲食	いんしょく	Boire et manger			<span class="kanji">飲食<span class="furigana">いんしょく</span></span>			
飲料	いんりょう	Boisson			<span class="kanji">飲料<span class="furigana">いんりょう</span></span>			
飲料水	いんりょうすい	Eau potable			<span class="kanji">飲料水<span class="furigana">いんりょうすい</span></span>			
飲み水	のみみず	Eau potable			<span class="kanji">飲<span class="furigana">の</span></span>み<span class="kanji">水<span class="furigana">みず</span></span>			
飲み物	のみもの	Boisson			<span class="kanji">飲<span class="furigana">の</span></span>み<span class="kanji">物<span class="furigana">もの</span></span>			
反る	そる	Se courber/ployer			<span class="kanji">反<span class="furigana">そ</span></span>る			
反らす	そらす	Courber, ployer			<span class="kanji">反<span class="furigana">そ</span></span>らす			
反発	はんぱつ	Répulsion, aversion; opposition			<span class="kanji">反発<span class="furigana">はんぱつ</span></span>			
反日	はんにち	Anti-japonais			<span class="kanji">反日<span class="furigana">はんにち</span></span>			
反面	はんめん	D'un autre côté, en revanche			<span class="kanji">反面<span class="furigana">はんめん</span></span>			
反省	はんせい	Réflexion, examen de conscience			<span class="kanji">反省<span class="furigana">はんせい</span></span>			
飯	めし	Riz cuit; repas, aliment			<span class="kanji">飯<span class="furigana">めし</span></span>			
ご飯	ごはん	Riz cuit; repas			ご<span class="kanji">飯<span class="furigana">はん</span></span>			
赤飯	せきはん	Riz cuit avec des haricots rouges		7	<span class="kanji">赤飯<span class="furigana">せきはん</span></span>			
夕飯	ゆうはん、ゆうめし	Souper, repas du soir			<span class="kanji">夕飯<span class="furigana">ゆうはん</span></span>			
麦飯	むぎめし	Riz cuit avec des grains d'orge			<span class="kanji">麦飯<span class="furigana">むぎめし</span></span>			
飯田	いいだ	Iida (nom de famille)			<span class="kanji">飯田<span class="furigana">いいだ</span></span>			
半官半民	はんかんはんみん	Semi-public			<span class="kanji">半官半民<span class="furigana">はんかんはんみん</span></span>			
国務長官	こくむちょうかん	Secrétaire d'État			<span class="kanji">国務長官<span class="furigana">こくむちょうかん</span></span>			
外交官	がいこうかん	Diplomate			<span class="kanji">外交官<span class="furigana">がいこうかん</span></span>			
高官	こうかん	Haut fonctionnaire			<span class="kanji">高官<span class="furigana">こうかん</span></span>			
神官	しんかん	Prêtre shintoïste			<span class="kanji">神官<span class="furigana">しんかん</span></span>			
館	やかた	(Grand) bâtiment d'intérêt public			<span class="kanji">館<span class="furigana">やかた</span></span>			
旅館	りょかん	Hôtel, auberge de style japonais			<span class="kanji">旅館<span class="furigana">りょかん</span></span>			
水族館	すいぞくかん	Aquarium			<span class="kanji">水族館<span class="furigana">すいぞくかん</span></span>			
会館	かいかん	Maison (de rencontre), club-house			<span class="kanji">会館<span class="furigana">かいかん</span></span>			
本館	ほんかん	Bâtiment principal			<span class="kanji">本館<span class="furigana">ほんかん</span></span>			
別館	べっかん	Annexe, bâtiment secondaire			<span class="kanji">別館<span class="furigana">べっかん</span></span>			
管	くだ	Tuyau			<span class="kanji">管<span class="furigana">くだ</span></span>			
管内	かんない	Circonscription, district administratif			<span class="kanji">管内<span class="furigana">かんない</span></span>			
管理	かんり	Gestion, administration, surveillance			<span class="kanji">管理<span class="furigana">かんり</span></span>			
水道管	すいどうかん	Conduite d'eau			<span class="kanji">水道管<span class="furigana">すいどうかん</span></span>			
気管	きかん	Trachée			<span class="kanji">気管<span class="furigana">きかん</span></span>			
鉄管	てっかん	Tuyau de fer			<span class="kanji">鉄管<span class="furigana">てっかん</span></span>			
利く	きく	Être efficace			<span class="kanji">利<span class="furigana">き</span></span>く			
有利	ゆうり	Avantageux, profitable			<span class="kanji">有利<span class="furigana">ゆうり</span></span>			
利子	りし	Intérêt (d'un prêt)			<span class="kanji">利子<span class="furigana">りし</span></span>			
利用	りよう	Utilisation			<span class="kanji">利用<span class="furigana">りよう</span></span>			
利口	りこう	Intelligent, sage, astucieux			<span class="kanji">利口<span class="furigana">りこう</span></span>			
左利き	ひだりきき	Gaucher			<span class="kanji">左利<span class="furigana">ひだりき</span></span>き			
右利き	みぎきき	Droitier			<span class="kanji">右利<span class="furigana">みぎき</span></span>き			
便り	たより	Nouvelles, lettre			<span class="kanji">便<span class="furigana">たよ</span></span>り			
便利	べんり	Commode, pratique			<span class="kanji">便利<span class="furigana">べんり</span></span>			
不便	ふべん	Incommode; peu pratique			<span class="kanji">不便<span class="furigana">ふべん</span></span>			
便所	べんじょ	Toilettes			<span class="kanji">便所<span class="furigana">べんじょ</span></span>			
別便	べつびん	Courrier séparé			<span class="kanji">別便<span class="furigana">べつびん</span></span>			
使う	つかう	Utiliser			<span class="kanji">使<span class="furigana">つか</span></span>う			
大使	たいし	Ambassadeur			<span class="kanji">大使<span class="furigana">たいし</span></span>			
公使	こうし	Ministre, envoyé			<span class="kanji">公使<span class="furigana">こうし</span></span>			
天使	てんし	Ange			<span class="kanji">天使<span class="furigana">てんし</span></span>			
使用法	しようほう	Mode d'emploi			<span class="kanji">使用法<span class="furigana">しようほう</span></span>			
使い方	つかいかた	Façon d'utiliser			<span class="kanji">使<span class="furigana">つか</span></span>い<span class="kanji">方<span class="furigana">かた</span></span>			
日本史	にほんし	Histoire du Japon			<span class="kanji">日本史<span class="furigana">にほんし</span></span>			
中世史	ちゅうせいし	Histoire médiévale			<span class="kanji">中世史<span class="furigana">ちゅうせいし</span></span>			
文学史	ぶんがくし	Histoire de la littérature			<span class="kanji">文学史<span class="furigana">ぶんがくし</span></span>			
史実	しじつ	Fait historique			<span class="kanji">史実<span class="furigana">しじつ</span></span>			
女史	じょし	Madame, Mademoiselle (honorifique)			<span class="kanji">女史<span class="furigana">じょし</span></span>			
仕える	つかえる	Servir			<span class="kanji">仕<span class="furigana">つか</span></span>える			
仕事	しごと	Travail, métier			<span class="kanji">仕事<span class="furigana">しごと</span></span>			
仕立て屋	したてや	Tailleur (métier)			<span class="kanji">仕立<span class="furigana">した</span></span>て<span class="kanji">屋<span class="furigana">や</span></span>			
仕方	しかた	Manière, moyen, méthode			<span class="kanji">仕方<span class="furigana">しかた</span></span>			
仕手	して	Protagoniste (dans une pièce de Nô)			<span class="kanji">仕手<span class="furigana">して</span></span>			
仕上げる	しあげる	Finir, terminer			<span class="kanji">仕上<span class="furigana">しあ</span></span>げる			
任せる	まかせる	S'en remettre à			<span class="kanji">任<span class="furigana">まか</span></span>せる			
任す	まかす	S'en remettre à			<span class="kanji">任<span class="furigana">まか</span></span>す			
主任	しゅにん	Responsable, chef			<span class="kanji">主任<span class="furigana">しゅにん</span></span>			
信任	しんにん	Confiance, créance			<span class="kanji">信任<span class="furigana">しんにん</span></span>			
後任	こうにん	Successeur			<span class="kanji">後任<span class="furigana">こうにん</span></span>			
任務	にんむ	Devoir de charge, fonction, tâche			<span class="kanji">任務<span class="furigana">にんむ</span></span>			
任意	にんい	Facultatif, libre, volontaire			<span class="kanji">任意<span class="furigana">にんい</span></span>			
権利	けんり	Un droit		5	<span class="kanji">権利<span class="furigana">けんり</span></span>			
人権	じんけん	Droits de l'homme		5	<span class="kanji">人権<span class="furigana">じんけん</span></span>			
特権	とっけん	Privilège, prérogative		5	<span class="kanji">特権<span class="furigana">とっけん</span></span>			
主権	しゅけん	Souveraineté, autorité suprême		5	<span class="kanji">主権<span class="furigana">しゅけん</span></span>			
三権分立	さんけんぶんりつ	Séparation des pouvoirs			<span class="kanji">三権分立<span class="furigana">さんけんぶんりつ</span></span>			
極み	きわみ	Hauteur, extrême, fin			<span class="kanji">極<span class="furigana">きわ</span></span>み			
極める	きわめる	Aller jusqu'aux extrémités			<span class="kanji">極<span class="furigana">きわ</span></span>める			
極まる	きわまる	Terminer			<span class="kanji">極<span class="furigana">きわ</span></span>まる			
極東	きょくとう	Extrême-Orient			<span class="kanji">極東<span class="furigana">きょくとう</span></span>			
北極	ほっきょく	Pôle Nord			<span class="kanji">北極<span class="furigana">ほっきょく</span></span>			
南極	なんきょく	Pôle Sud			<span class="kanji">南極<span class="furigana">なんきょく</span></span>			
見極める	みきわめる	Vérifier; examiner à fond			<span class="kanji">見極<span class="furigana">みきわ</span></span>める			
句	く	Phrase, expression; poème			<span class="kanji">句<span class="furigana">く</span></span>			
語句	ごく	Phrase, expression		6	<span class="kanji">語句<span class="furigana">ごく</span></span>			
成句	せいく	Locution figée, diction			<span class="kanji">成句<span class="furigana">せいく</span></span>			
文句	もんく	Paroles, expression; plainte, objection			<span class="kanji">文句<span class="furigana">もんく</span></span>			
句読	くとう	Ponctuation		6	<span class="kanji">句読<span class="furigana">くとう</span></span>			
句読点	くとうてん	Signes de ponctuation		6	<span class="kanji">句読点<span class="furigana">くとうてん</span></span>			
引用句	いんようく	Citation			<span class="kanji">引用句<span class="furigana">いんようく</span></span>			
上旬	じょうじゅん	Première décade du mois, début du mois			<span class="kanji">上旬<span class="furigana">じょうじゅん</span></span>			
中旬	ちゅうじゅん	Seconde décade du mois, milieu du mois			<span class="kanji">中旬<span class="furigana">ちゅうじゅん</span></span>			
下旬	げじゅん	Troisième décade du mois, fin du mois			<span class="kanji">下旬<span class="furigana">げじゅん</span></span>			
図	ず	Plan, schéma, dessin			<span class="kanji">図<span class="furigana">ず</span></span>			
図る	はかる	Planifier			<span class="kanji">図<span class="furigana">はか</span></span>る			
地図	ちず	Carte, plan			<span class="kanji">地図<span class="furigana">ちず</span></span>			
図表	ずひょう	Tableau, graphique, diagramme			<span class="kanji">図表<span class="furigana">ずひょう</span></span>			
合図	あいず	Signal, signe geste			<span class="kanji">合図<span class="furigana">あいず</span></span>			
意図	いと	Intention, dessein			<span class="kanji">意図<span class="furigana">いと</span></span>			
図書館	としょかん	Bibliothèque			<span class="kanji">図書館<span class="furigana">としょかん</span></span>			
計る	はかる	Mesurer, calculer			<span class="kanji">計<span class="furigana">はか</span></span>る			
計らう	はからう	Arranger, traiter, procéder			<span class="kanji">計<span class="furigana">はか</span></span>らう			
時計	とけい	Horloge, montre			<span class="kanji">時計<span class="furigana">とけい</span></span>			
会計	かいけい	Comptabilité, compte; payer l'addition			<span class="kanji">会計<span class="furigana">かいけい</span></span>			
合計	ごうけい	Total			<span class="kanji">合計<span class="furigana">ごうけい</span></span>			
家計	かけい	Budget domestique			<span class="kanji">家計<span class="furigana">かけい</span></span>			
針	はり	Aiguille (couture, acupuncture, montre)			<span class="kanji">針<span class="furigana">はり</span></span>			
方針	ほうしん	Orientation, direction, principes			<span class="kanji">方針<span class="furigana">ほうしん</span></span>			
針路	けいろ	Direction, cap (navigation)			<span class="kanji">針路<span class="furigana">けいろ</span></span>			
長針	ちょうしん	Aiguille des minutes, grande aiguille			<span class="kanji">長針<span class="furigana">ちょうしん</span></span>			
分針	ふんしん	Aiguille des minutes, grande aiguille			<span class="kanji">分針<span class="furigana">ふんしん</span></span>			
短針	たんしん	Aiguille des heures, aiguille courte			<span class="kanji">短針<span class="furigana">たんしん</span></span>			
針金	はりがね	Fil de fer			<span class="kanji">針金<span class="furigana">はりがね</span></span>			
調べる	しらべる	Examiner, étudier, vérifier			<span class="kanji">調<span class="furigana">しら</span></span>べる			
調える	ととのえる	Préparer, ranger, mettre en ordre			<span class="kanji">調<span class="furigana">ととの</span></span>える			
調う	ととのう	Être préparé, être ordonné, être en ordre			<span class="kanji">調<span class="furigana">ととの</span></span>う			
協調	きょうちょう	Coopération, harmonie			<span class="kanji">協調<span class="furigana">きょうちょう</span></span>			
好調	こうちょう	Favorable, satisfaisant, bien			<span class="kanji">好調<span class="furigana">こうちょう</span></span>			
調子	ちょうし	Son, tonalité; humeur; état			<span class="kanji">調子<span class="furigana">ちょうし</span></span>			
取り調べ	とりしらべ	Enquête, interrogatoire			<span class="kanji">取<span class="furigana">と</span></span>り<span class="kanji">調<span class="furigana">しら</span></span>べ			
画家	がか	Peintre			<span class="kanji">画家<span class="furigana">がか</span></span>			
日本画	にほんが	Peinture de style japonais			<span class="kanji">日本画<span class="furigana">にほんが</span></span>			
洋画	ようが	Peinture de style occidental			<span class="kanji">洋画<span class="furigana">ようが</span></span>			
画用紙	がようし	Papier à dessin		10	<span class="kanji">画用紙<span class="furigana">がようし</span></span>			
画面	がめん	Écran (TV, cinéma, ordinateur)			<span class="kanji">画面<span class="furigana">がめん</span></span>			
計画	けいかく	Projet, plan, dessein			<span class="kanji">計画<span class="furigana">けいかく</span></span>			
上演	じょうえん	Représentation, spectacle			<span class="kanji">上演<span class="furigana">じょうえん</span></span>			
公演	こうえん	Représentation publique			<span class="kanji">公演<span class="furigana">こうえん</span></span>			
独演	どくえん	Récital			<span class="kanji">独演<span class="furigana">どくえん</span></span>			
出演	しゅつえん	Paraître en scène (théâtre, film, télévision)			<span class="kanji">出演<span class="furigana">しゅつえん</span></span>			
演出	えんしゅつ	Mise en scène			<span class="kanji">演出<span class="furigana">えんしゅつ</span></span>			
絵	え	Dessin, image, peinture			<span class="kanji">絵<span class="furigana">え</span></span>			
絵画	かいが	Peinture, tableau			<span class="kanji">絵画<span class="furigana">かいが</span></span>			
絵葉書	えはがき	Carte postale illustrée			<span class="kanji">絵葉書<span class="furigana">えはがき</span></span>			
絵本	えほん	Livre d'images			<span class="kanji">絵本<span class="furigana">えほん</span></span>			
口絵	くちえ	Frontispice			<span class="kanji">口絵<span class="furigana">くちえ</span></span>			
大和絵	やまとえ	Peinture japonaise d'ancien style			<span class="kanji">大和絵<span class="furigana">やまとえ</span></span>			
給料	きゅうりょう	Paie, salaire			<span class="kanji">給料<span class="furigana">きゅうりょう</span></span>			
月給	げっきゅう	Salaire mensuel			<span class="kanji">月給<span class="furigana">げっきゅう</span></span>			
支給	しきゅう	Allocation, distribution			<span class="kanji">支給<span class="furigana">しきゅう</span></span>			
供給	きょうきゅう	Approvisionnement, fourniture, offre		5	<span class="kanji">供給<span class="furigana">きょうきゅう</span></span>			
給水	きゅうすい	Distribution/alimentation d'eau			<span class="kanji">給水<span class="furigana">きゅうすい</span></span>			
音	おと	Son, bruit			<span class="kanji">音<span class="furigana">おと</span></span>			
音	ね	Son, bruit			<span class="kanji">音<span class="furigana">ね</span></span>			
発音	はつおん	Prononciation			<span class="kanji">発音<span class="furigana">はつおん</span></span>			
表音文字	ひょうおんもじ	Symbole phonétique			<span class="kanji">表音文字<span class="furigana">ひょうおんもじ</span></span>			
母音	ぼいん	Voyelle			<span class="kanji">母音<span class="furigana">ぼいん</span></span>			
子音	しいん	Consonne			<span class="kanji">子音<span class="furigana">しいん</span></span>			
本音	ほんね	Intention véritable			<span class="kanji">本音<span class="furigana">ほんね</span></span>			
足音	あしおと	Bruit de pas			<span class="kanji">足音<span class="furigana">あしおと</span></span>			
暗い	くらい	Sombre, obscur			<span class="kanji">暗<span class="furigana">くら</span></span>い			
暗黒	あんこく	Obscurité, ténèbres			<span class="kanji">暗黒<span class="furigana">あんこく</span></span>			
暗号	あんごう	Code (secret), mot de passe			<span class="kanji">暗号<span class="furigana">あんごう</span></span>			
明暗	めいあん	Clair-obscur, ombre et lumière			<span class="kanji">明暗<span class="furigana">めいあん</span></span>			
暗がり	くらがり	Obscurité, ténèbres			<span class="kanji">暗<span class="furigana">くら</span></span>がり			
闇	やみ	Obscurité			<span class="kanji">闇<span class="furigana">やみ</span></span>			
暗闇	くらやみ	Obscurité			<span class="kanji">暗闇<span class="furigana">くらやみ</span></span>			
夕闇	ゆうやみ	Crépuscule, tombée de la nuit			<span class="kanji">夕闇<span class="furigana">ゆうやみ</span></span>			
闇雲に	やみくもに	Au hasard, à tort et à travers			<span class="kanji">闇雲<span class="furigana">やみくも</span></span>に			
闇市	やみいち	Marché noir			<span class="kanji">闇市<span class="furigana">やみいち</span></span>			
闇取引	やみとりひき	Marché noir, commerce clandestin			<span class="kanji">闇取引<span class="furigana">やみとりひき</span></span>			
音韻学	おんいんがく	Phonologie, phonétique			<span class="kanji">音韻学<span class="furigana">おんいんがく</span></span>			
韻文	いんぶん	Vers, poésie			<span class="kanji">韻文<span class="furigana">いんぶん</span></span>			
韻語	いんご	(Mots formant la) rime			<span class="kanji">韻語<span class="furigana">いんご</span></span>			
頭韻	とういん	Allitération			<span class="kanji">頭韻<span class="furigana">とういん</span></span>			
損なう	そこなう	Endommager, blesser			<span class="kanji">損<span class="furigana">そこ</span></span>なう			
損ねる	そこねる	Endommager, blesser			<span class="kanji">損<span class="furigana">そこ</span></span>ねる			
損失	そんしつ	Perte			<span class="kanji">損失<span class="furigana">そんしつ</span></span>			
大損	おおぞん	Grande perte			<span class="kanji">大損<span class="furigana">おおぞん</span></span>			
見損なう	みそこなう	Ne pas voir; se méprendre			<span class="kanji">見損<span class="furigana">みそこ</span></span>なう			
読み損なう	よみそこなう	Se tromper en lisant			<span class="kanji">読<span class="furigana">よ</span></span>み<span class="kanji">損<span class="furigana">そこ</span></span>なう			
中央	ちゅうおう	Centre			<span class="kanji">中央<span class="furigana">ちゅうおう</span></span>			
中央口	ちゅうおうぐち	Entrée/sortie principale/centrale			<span class="kanji">中央口<span class="furigana">ちゅうおうぐち</span></span>			
中央部	ちゅうおうぶ	Partie centrale, milieu			<span class="kanji">中央部<span class="furigana">ちゅうおうぶ</span></span>			
中央線	ちゅうおうせん	Ligne Chûô (train)			<span class="kanji">中央線<span class="furigana">ちゅうおうせん</span></span>			
