じゃあ		Alors; dans ce cas	1	2	Exp	
どうぞ		Je vous en prie.; Voilà	1	2	Exp	
どうも		Merci.	1	2	Exp	
映画	えいが	Film	1	3	Nom	
音楽	おんがく	Musique	1	3	Nom	
雑誌	ざっし	Magazine	1	3	Nom	
スポーツ		Sport	1	3	Nom	
デート		Rendez-vous (romantique)	1	3	Nom	
テニス		Tennis	1	3	Nom	
テレビ		Télévision	1	3	Nom	
アイスクリーム		Glace	1	3	Nom	
ハンバーガー		Hamburger	1	3	Nom	
お酒	おさけ	Saké; boisson alcoolisée	1	3	Nom	
お茶	おちゃ	Thé vert	1	3	Nom	
コーヒー		Café	1	3	Nom	
水	みず	Eau	1	3	Nom	
朝ご飯	あさごはん	Petit-déjeuner	1	3	Nom	
昼ご飯	ひるごはん	Déjeuner	1	3	Nom	
晩ご飯	ばんごはん	Dîner	1	3	Nom	
家	いえ	Domicile; maison	1	3	Nom	
うち		Domicile; maison; chez moi	1	3	Nom	
学校	がっこう	École	1	3	Nom	
カフェ		Café	1	3	Nom	
明日	あした	Demain	1	3	Nom	
今日	きょう	Aujourd'hui	1	3	Nom	
朝	あさ	Matin	1	3	Nom	
今晩	こんばん	Ce soir	1	3	Nom	
毎日	まいにち	Tous les jours; chaque jour	1	3	Nom	
毎晩	まいばん	Tous les soirs; chaque soir	1	3	Nom	
週末	しゅうまつ	Week-end	1	3	Nom	
土曜日	どようび	Samedi	1	3	Nom	
日曜日	にちようび	Dimanche	1	3	Nom	
いつ		Quand	1	3	Nom	
～ごろ		Vers...	1	3	Nom	
行く	いく	Aller	1	3	U-Vb	destination に/へ
帰る	かえる	Revenir; rentrer	1	3	U-Vb	destination に/へ
聞く	きく	Écouter; entendre	1	3	U-Vb	～を
飲む	のむ	Boire	1	3	U-Vb	～を
話す	はなす	Discuter; parler	1	3	U-Vb	～を/～で
読む	よむ	Lire	1	3	U-Vb	～を
起きる	おきる	Se lever	1	3	Ru-Vb	
食べる	たべる	Manger	1	3	Ru-Vb	～を
寝る	ねる	Dormir; aller se coucher	1	3	Ru-Vb	
見る	みる	Voir; regarder	1	3	Ru-Vb	～を
来る	くる	Venir	1	3	Irr-Vb	destination に/へ
する		Faire	1	3	Irr-Vb	～を
勉強する	べんきょうする	Étudier	1	3	Irr-Vb	～を
いい		Bon; bien	1	3	いAdj	
早い	はやい	Tôt	1	3	いAdj	
あまり＋Négatif		Pas beaucoup	1	3	Adv	
全然＋Négatif	ぜんぜん	Pas du tout	1	3	Adv	
たいてい		Généralement	1	3	Adv	
ちょっと		Un peu	1	3	Adv	
時々	ときどき	Parfois	1	3	Adv	
よく		Souvent; beaucoup	1	3	Adv	
そうですね		C'est ça.; Voyons voir.	1	3	Exp	
でも		Mais	1	3	Exp	
どうですか		Que pensez-vous de... ? ; Que diriez-vous de... ?	1	3	Exp	
ええ		Oui	1	3	Exp	
ゲーム		Jeu	1	4	Nom	
アルバイト		Petit boulot (plus familièrement バイト)	1	4	Nom	
買い物	かいもの	Shopping	1	4	Nom	
クラス		Classe	1	4	Nom	
犬	いぬ	Chien	1	4	Nom	
猫	ねこ	Chat	1	4	Nom	
人	ひと	Personne	1	4	Nom	
子供	こども	Enfant	1	4	Nom	
あなた		Vous ; tu	1	4	Nom	
いす		Chaise	1	4	Nom	
机	つくえ	Bureau	1	4	Nom	
写真	しゃしん	Photographie	1	4	Nom	
花	はな	Fleur	1	4	Nom	
レポート		Rapport ; dissertation	1	4	Nom	
ご飯	ごはん	Riz ; repas	1	4	Nom	
パン		Pain	1	4	Nom	
お寺	おてら	Temple	1	4	Nom	
公園	こうえん	Parc	1	4	Nom	
スーパー		Supermarché	1	4	Nom	
バス停	バスてい	Arrêt de bus	1	4	Nom	
病院	びょういん	Hôpital	1	4	Nom	
ホテル		Hôtel	1	4	Nom	
本屋	ほんや	Librairie	1	4	Nom	
町	まち	Ville	1	4	Nom	
レストラン		Restaurant	1	4	Nom	
昨日	きのう	Hier	1	4	Nom	
～時間	～じかん	... heures	1	4	Nom	
一時間	いちじかん	Une heure	1	4	Nom	
先週	せんしゅう	La semaine dernière	1	4	Nom	
時	とき	Quand... ; au moment de	1	4	Nom	～の
月曜日	げつようび	Lundi	1	4	Nom	
火曜日	かようび	Mardi	1	4	Nom	
水曜日	すいようび	Mercredi	1	4	Nom	
木曜日	もくようび	Jeudi	1	4	Nom	
金曜日	きんようび	Vendredi	1	4	Nom	
会う	あう	Rencontrer; voir (quelqu'un)	1	4	U-Vb	personneに
ある		Il y a ...	1	4	U-Vb	endroitにchoseが
買う	かう	Acheter	1	4	U-Vb	～を
書く	かく	Écrire	1	4	U-Vb	personneにchoseを
撮る	とる	Prendre (une photo)	1	4	U-Vb	～を
待つ	まつ	Attendre	1	4	U-Vb	～を
わかる		Comprendre	1	4	U-Vb	～が
