受付	うけつけ	Accueil	1	3		Nom	
ロビー		Hall	1	3		Nom	
部屋	へや	Salle, chambre	1	3		Nom	
トイレ		Toilettes	1	3		Nom	
お手洗い	おてあらい	Toilettes	1	3		Nom	
階段	かいだん	Escalier	1	3		Nom	
エレベーター		Ascenceur	1	3		Nom	
エスカレーター		Escalator	1	3		Nom	
自動販売機	じどうはんばいき	Distributeur automatique	1	3		Nom	
電話	でんわ	Téléphone	1	3		Nom	
［お］国	［お］くに	Pays	1	3		Nom	
会社	かいしゃ	Entreprise, société	1	3		Nom	
うち		Maison	1	3		Nom	
靴	くつ	Chaussures	1	3		Nom	
ネクタイ		Cravate	1	3		Nom	
ワイン		Vin	1	3		Nom	
売り場	うりば	Rayon (dans un magasin)	1	3		Nom	
地下	ちか	Sous-sol	1	3		Nom	
〜階	〜かい	- étage	1	3			
何階	なんがい	Quel étage	1	3			
〜円	〜えん	- yen	1	3			
いくら		Combien (cela coûte)	1	3			
百	ひゃく	Cent	1	3			
千	せん	Mille	1	3			
万	まん	Dix mille	1	3			
すみません		Excusez-moi	1	3			
どうも		Merci	1	3			
いらっしゃいませ		Bienvenue (salutation adressée au client qui entre dans un magasin)	1	3			
［〜を］見せてください	［〜を］みせてください	Montrez-moi [〜]. Est-ce que je peux voir [〜] ?	1	3			
じゃ		Alors. Eh bien	1	3			
［〜を］ください		Donnez-moi [〜]	1	3			
イタリア		Italie	1	3		Nom	
スイス		Suisse	1	3		Nom	
フランス		France	1	3		Nom	
ジャカルタ		Jakarta	1	3		Nom	
バンコク		Bangkok	1	3		Nom	
ベルリン		Berlin	1	3		Nom	
起きる	おきる	Se lever, se réveiller	1	4	起きます	Ru-Vb	
寝る	ねる	Dormir, se coucher	1	4	寝ます	Ru-Vb	
働く	はたらく	Travailler	1	4	働きます	U-Vb	
休む	やすむ	Se reposer, prendre un congé	1	4	休みます	U-Vb	
勉強する	べんきょうする	Étudier	1	4	します	Irr-Vb	～を
終わる	おわる	Se terminer, finir	1	4	終わります	U-Vb	～が
デパート		Grand magasin	1	4		Nom	
銀行	ぎんこう	Banque	1	4		Nom	
郵便局	ゆうびんきょく	Bureau de poste	1	4		Nom	
図書館	としょかん	Bibliothèque	1	4		Nom	
美術館	びじゅつかん	Musée	1	4		Nom	
今	いま	Maintenant	1	4			
～時	～じ	-heure(s)	1	4			
～分	～ふん、～ぷん	-minute(s)	1	4			
半	はん	Demie (30 minutes)	1	4			
何時	なんじ	Quelle heure	1	4			
何分	なんぷん	Combien de minutes	1	4			
午前	ごぜん	Matin, du matin, matinée	1	4		Nom	
午後	ごご	Après-midi	1	4		Nom	
朝	あさ	Matin	1	4		Nom	
昼	ひる	Midi, jour, journée	1	4		Nom	
晩	ばん	Soir, nuit	1	4		Nom	
夜	よる	Soir, nuit	1	4		Nom	
一昨日	おととい	Avant-hier	1	4		Nom	
昨日	きのう	Hier	1	4		Nom	
今日	きょう	Aujourd'hui	1	4		Nom	
明日	あした	Demain	1	4		Nom	
明後日	あさって	Après-demain	1	4		Nom	
今朝	けさ	Ce matin	1	4		Nom	
今晩	こんばん	Ce soir	1	4		Nom	
休み	やすみ	Repos, vacances, congé	1	4		Nom	
昼休み	ひるやすみ	Pause de midi	1	4		Nom	
試験	しけん	Examen	1	4		Nom	
会議	かいぎ	Réunion	1	4		Nom	
会議をする	かいぎをする	Faire une réunion	1	4	します	Irr-Vb	
映画	えいが	Cinéma, film	1	4		Nom	
毎朝	まいあさ	Tous les matins	1	4		Nom	
毎晩	まいばん	Tous les soirs	1	4		Nom	
毎日	まいにち	Tous les jours	1	4		Nom	
月曜日	げつようび	Lundi	1	4		Nom	
火曜日	かようび	Mardi	1	4		Nom	
水曜日	すいようび	Mercredi	1	4		Nom	
金曜日	きんようび	Jeudi	1	4		Nom	
土曜日	どようび	Vendredi	1	4		Nom	
日曜日	にちようび	Samedi	1	4		Nom	
何曜日	なんようび	Dimanche	1	4		Nom	
～から		À partir de ～	1	4			
～まで		Jusqu'à ～	1	4			
～と～		～ et ～ (utilisé pour relier deux ou plusieurs noms)	1	4			
大変ですね。	たいへんですね	C'est dur (pour vous). (utilisé quand on exprime sa sympathie)	1	4			
番号	ばんごう	Numéro	1	4		Nom	
何番	なんばん	Quel numéro	1	4			
そちら		Là-bas, votre côté, vous	1	4			
ニューヨーク		New York	1	4		Nom	
ペキン		Pékin	1	4		Nom	
ロサンゼルス		Los Angeles	1	4		Nom	
ロンドン		Londres	1	4		Nom	
行く	いく	Aller	1	5	いきます	U-Vb	
来る	くる	Venir	1	5	きます	Irr-Vb	
帰る	かえる	Rentrer (chez soi), retourner	1	5	かえります	U-Vb	
学校	がっこう	École	1	5		Nom	
スーパー		Supermarché	1	5		Nom	
駅	えき	Gare, station	1	5		Nom	
飛行機	ひこうき	Avion	1	5		Nom	
船	ふね	Bateau	1	5		Nom	
電車	でんしゃ	Train	1	5		Nom	
地下鉄	ちかてつ	Métro	1	5		Nom	
新幹線	しんかんせん	Shinkansen	1	5		Nom	
バス		Bus	1	5		Nom	
タクシー		Taxi	1	5		Nom	
自転車	じてんしゃ	Bicyclette	1	5		Nom	
歩いて	あるいて	À pied	1	5			
人	ひと	Personne, gens	1	5		Nom	
友達	ともだち	Ami(e)	1	5		Nom	
彼	かれ	Lui, il, petit ami	1	5		Nom	
彼女	かのじょ	Elle, petite amie	1	5		Nom	
家族	かぞく	Famille	1	5		Nom	
一人で	ひとりで	Seul(e), par soi-même	1	5			
先週	せんしゅう	La semaine dernière	1	5		Nom	
今週	こんしゅう	Cette semaine	1	5		Nom	
来週	らいしゅう	La semaine prochaine	1	5		Nom	
先月	せんげつ	Le mois dernier	1	5		Nom	
今月	こんげつ	Ce mois	1	5		Nom	
来月	らいげつ	Le mois prochain	1	5		Nom	
去年	きょねん	L'année dernière	1	5		Nom	
今年	ことし	Cette année	1	5		Nom	
来年	らいねん	L'année prochaine	1	5		Nom	
～年	～ねん	(l'année) ～	1	5			
何年	なんねん	Quelle année	1	5			
～月	～がつ	(le mois de) ～	1	5			
何月	なんがつ	Quel mois	1	5			
１日	ういたち	Le 1er du mois	1	5			
２日	ふつか	Le 2 du mois, 2 jours	1	5			
３日	みっか	Le 3 du mois, 3 jours	1	5			
４日	よっか	Le 4 du mois, 4 jours	1	5			
５日	いつか	Le 5 du mois, 5 jours	1	5			
６日	むいか	Le 6 du mois, 6 jours	1	5			
７日	なのか	Le 7 du mois, 7 jours	1	5			
８日	ようか	Le 8 du mois, 8 jours	1	5			
９日	ここのか	Le 9 du mois, 9 jours	1	5			
１０日	とおか	Le 10 du mois, 10 jours	1	5			
１４日	じゅうよっか	Le 14 du mois, 14 jours	1	5			
２０日	はつか	Le 20 du mois, 20 jours	1	5			
２４日	にじゅうよっか	Le 24 du mois, 24 jours	1	5			
～日	～にち	Le ～ (du mois), ～ jour(s)	1	5			
何日	なんにち	Quel jour du mois, combien de jours	1	5			
いつ		Quand	1	5			
誕生日	たんじょうび	Anniversaire	1	5		Nom	
そうですね		C'est cela.	1	5			
［どうも］ありがとうございました		Merci [beaucoup]	1	5			
どういたしまして		Je vous en prie. / De rien.	1	5			
～番線	～ばんせん	Quai ～, voie ～	1	5			
次の	つぎの	Prochain	1	5			
普通	ふつう	(Train) omnibus	1	5		Nom	
急行	きゅうこう	(Train) Express	1	5		Nom	
特急	とっきゅう	(Train) Spécial express	1	5		Nom	
