四字熟語	読み	意味	級	ページ	類義語	対義語	別の読み	参考	補説	優先
同気相求	どうきそうきゅう	同じ気性のものは互いに自然に求め合い、寄り集まるようになるということ。	5	357	同類相求、同声相応					
当機立断	とうきりつだん	時機を失わずに、ただちに決断すること。	5	357	応機立断、即断即決、臨機応変					
同工異曲	どうこういきょく	外見は異なるが、内容は似たり寄ったりであること。	5	358	大同小異					
刀耕火種	とうこうかしゅ	山林を伐採して、その後に山を焼いて種を植える。	5	358	刀耕火耨					
灯紅酒緑	とうこうしゅりょく	-	5	359	-	-	-	紅灯緑酒		
東行西走	とうこうせいそう	忙しくあちこちと走りまわること。	5	359	東奔西走					-
東西古今	とうざいここん	-	5	359	-	-	-	古今東西		-
同仁一視	どうじんいっし	-	5	360	-	-	-	一視同仁		
湯池鉄城	とうちてつじょう	きわめて堅固な備えのこと。	5	361	金城鉄壁、金城湯池、難攻不落					
銅頭鉄額	どうとうてつがく	きわめて勇猛なたとえ。	5	361						
党利党略	とうりとうりゃく	自分が属する政党・党派の利益とそのためにする策略。	5	363						
土階三等	どかいさんとう	質素な住居のたとえ。	5	363	堂高三尺、尭階三尺、茅茨不翦、采椽不斲、藜杖韋帯					
得意満面	とくいまんめん	思いどおりになり、誇らしげなようすが顔いっぱいに表れること。	5	364	喜色満面					-
徳書三到	とくこうぼうじゅう	人徳があって、人々からの信望も厚いこと。	5	365						
読書三余	どくしょさんよ	読書をするのに最も都合のよい三つの余暇のこと。	5	365	董遇三余					
読書亡羊	どくしょぼうよう	ほかのことに気をとられて肝心な仕事をおろそかにすること。	5	365						
独断専行	どくだんせんこう	自分一人の判断で勝手に物事を行うこと。	5	366						
特筆大書	とくひつたいしょ	特別に人目につくよう大きく書くこと。	5	366						
独立自尊	どくりつじそん	人に頼らずに自分の尊厳を保つこと。	5	366	自主独立					
独立独歩	どくりつどっぽ	他人に影響されることなく、自分の信ずる道を進むこと。	5	366	独立独行、独立不羈					
難行苦行	なんぎょうくぎょう	たいへんな苦労をすること。	5	372						
南山不落	なんざんふらく	城などが堅固で容易には陥落しないことのたとえ。	5	373	難攻不落、金城鉄壁、金城湯池					
南船北馬	なんせんほくば	あちこち広く旅行すること。	5	373	東奔西走、東走西奔、東行西走、南行北走					
二束三文	にそくさんもん	極端に安い値で品物を売ること。	5	374						-
日居月諸	にっきょげっしょ	日よ月よ。	5	374						
日進月歩	にっしんげっぽ	とどまることなく急速に進歩すること。	5	375	日就月将、日新月異	旧態依然				-
入境問禁	にゅうきょうもんきん	国境を越えたら、まずその国・地方で禁止されていることをたずね、それを犯さないことがたいせつであるということ。	5	375	入郷従郷、殊俗帰風					
入木三分	にゅうぼくさんぶ	書道で筆勢が非常に強いこと。また、物事を的確に深くつっこんで考えること。	5	375						
二律背反	にりつはいはん	相互に対立・矛盾する二つの命題が、同等の権利をもって主張されること。	5	375						-
二六時中	にろくじちゅう	一日じゅう。終日。いつも。しじゅう。	5	375	四六時中					
年百年中	ねんびゃくねんじゅう	一年中。	5	376	年頭月尾					
馬鹿果報	ばかかほう	思いがけずに大きな幸運を得るたとえ。	5	380						
破鏡重円	はきょうじゅうえん	別れた夫婦がまたいっしょになること。また、離ればなれになっていた夫婦が再会すること。	5	380	破鏡不照					
白衣三公	はくいのさんこう	無位無官の人が出世して、高い位につくこと。	5	381						
博学多才	はくがくたさい	広く学問に通じ、才能が豊かなこと。	5	381	博学多識、博聞強識、	浅学非才				
白眼青眼	はくがんせいがん	相手によって冷淡になったり、歓迎したりすること。	5	382						
白日青天	はくじつせいてん	-	5	383	-	-	-	青天白日		
白水真人	はくすいしんじん	中国後漢王朝の興起を予言したことば。また、銭のこと。	5	383						
幕天席地	ばくてんせきち	小さいことにこだわらないこと。また、志の大きいこと。	5	384						
白馬非馬	はくばひば	こじつけや詭弁をいう。	5	384						
白板天子	はくはんのてんし	晋が南渡して東晋となり、天子がその象徴である国璽なく即位したことから、北人が東晋の天子を呼んだもの。	5	385						
博聞強記	はくぶんきょうき	広く書物に親しみ、内容をよく記憶していること。また、知識が豊富なこと。	5	385	博学多才、博覧強記、博覧強識、博聞強志、博聞強識					
博文約礼	はくぶんやくれい	広く文献に目を通して学問を修め、礼をもって学んだことをしめくくり実践すること。	5	385						
白面書生	はくめんのしょせい	年少で未熟なこと。	5	386						
博覧強記	はくらんきょうき	-	5	386	-	-	-	博聞強記		
馬氏五常	ばしごじょう	-	5	386	-	-	-	白眉最良		
馬歯徒増	ばしとぞう	むだに齢(とし)をとること。	5	387	馬歯加長					
白黒分明	はっこくぶんめい	よいものと悪いものとの区分がはっきりしていること。	5	388						
発入深省	はつじんしんせい	人を啓発して、物事を深く考えるようにさせること。	5	389						
八方美人	はっぽうびじん	誰にも悪く思われないように如才なく振る舞うこと。	5	389	八面玲瓏					-
反問苦肉	はんかんくにく	敵同士の仲を裂き、敵をあざむくこと。	5	391						
半死半生	はんしはんしょう	今にも死にそうな状態。	5	393	気息奄奄					-
半信半疑	はんしんはんぎ	本当かどうか判断に迷うこと。	5	394						-
半知半解	はんちはんかい	-	5	395	-	-	-	一知半解		
班田収授	はんでんしゅうじゅ	大化改新の土地制度。	5	395						
反面教師	はんめんきょうし	まねてはならないが逆に反省の糧となるような人・事物をいう。	5	396						-
美意延年	びいえんねん	なんの心配事もなく気分が楽しければ、長生きできるということ。	5	397						
飛花落葉	ひからくよう	人の世の無常のたとえ。	5	398						
百戦百勝	ひゃくねんひゃくしょう	戦ってすべて勝つこと。	5	403	連戦連勝					-
百二山河	ひゃくにのさんが	非常に堅固で大事な場所。	5	404						
百人百様	ひゃくにんひゃくよう	人によってそれぞれ違った考え方や方法があるということ。	5	404	十人十色					
百年河清	ひゃくねんかせい	あてにならないことをいつまでも待つたとえ。	5	404						
百家争鳴	ひゃっかそうめい	さまざまな立場の人が自由に議論をすること。	5	405	百花斉放、百花繚乱、議論百出、談論風発					
百下百全	ひゃっかひゃくぜん	百のうち一つも欠けることなく完全であること。	5	405						
百発百中	ひゃっぱつひゃくちゅう	予想や計画などが、すべてそのとおりになること。	5	406	百歩穿楊					-
永炭相愛	ひょうたんそうあい	世の中にありえないことのたとえ。また、友人どうしが互いに戒めあうたとえ。	5	407						
品行方正	ひんこうほうせい	行いや心が正しく、やましい点がないこと。	5	409	規行矩歩、聖人君子					-
風林火山	ふうりんかざん	物事の時機や情勢に応じた行動のしかたのこと。	5	413						-
武運長久	ぶうんちょうきゅう	戦いの場での幸運が長く続くこと。	5	413						
不易流行	ふえきりゅうこう	蕉風俳諧の理念の一。	5	414	一時流行					-
不解衣帯	ふかいいたい	あることに不眠不休で専念すること。	5	414	昼夜兼行、不眠不休					
福徳円満	ふくとくえんまん	精神的・物質的に恵まれ、満ち足りていること。	5	416	円満具足					
不言実行	ふげんじっこう	あれこれ理屈をいわずに黙って実際に行動すること。	5	416	訥言実行、訥言敏行	有言実行				-
不言不語	ふげんふご	何も言わないこと。	5	416						
富国強兵	ふこくきょうへい	国の経済力を高め、軍事力を増強すること。	5	417						-
父子相伝	ふしそうでん	学術や技芸などの奥義を父からわが子だけに伝えること。	5	417	一子相伝					-
無事息災	ぶじそくさい	心配事やわざわいがなく平穏に暮らしていること。	5	417	無事平安、平穏無事、無病息災					
不断節季	ふだんせっき	一日一日を節季のつもりで、借金をしないで地道でまじめな商売をしていれば、決算期になっても困ることはないということ。	5	419						
不知案内	ふちあんない	知識や心得がなく、物事の事情やようすがよくわからないこと。	5	419						
仏足石歌	ぶっそくせきか	仏足石の歌碑にきざまれた和歌の形式で、三十一音の短歌の末尾にさらに七音を加えた形。	5	419						
不得要領	ふとくようりょう	要点がはっきりせず、わけのわからないこと。	5	420						
不買美田	ふばいびでん	子孫を甘やかし安楽な生活をさせるような財産を残さないこと。	5	420						
不老不死	ふろうふし	永久に老いることなく生きること。	5	422	不老長寿、長生不老					-
文芸復興	ぶんげいふっこう	十四世紀末から十六世紀初めにかけてイタリアを中心として全ヨーロッパにひろがった、ギリシャ・ローマの古典文化を手本とする学術上・芸術上の革新運動のこと。	5	422						
分合集散	ぶんごうふんさん	-	5	423	-	-	-	離合集散		
文従字順	ぶんじゅうじじゅん	文章の筋がとおっていて、表現もよどみなくわかりやすいこと。	5	423						
文章絶唱	ぶんしょうのぜっしょう	きわめてすぐれた文章のこと。	5	423						
文武両道	ぶんぶりょうどう	学問と武芸。また、その両方にすぐれていること。	5	424	文武兼備、文武兼資、文武二道、允文允武、経文緯武、左文右武、文事武備					-
文明開花	ぶんめいかいか	人知が開け世の中が進歩して、文化の水準が高くなること。	5	425						-
米塩博弁	べいえんはくべん	詳細にわたって議論し、話し合うこと。また、くどくどと話すこと。	5	425						
平身低頭	へいしんていとう	ひたすら恐縮しへりくだること。また、ひたすらあやまること。	5	426	三跪九叩、三拝九拝、奴顔婢膝	傲岸不遜				
別有天地	べつゆうてんち	俗世間を離れた理想的な別天地があるということ。	5	428	別有洞天					
変態百出	へんたいひゃくしゅつ	形をいろいろと変え、また姿も変えること。	5	429						
変法自強	へんぽうじきょう	法律や制度を改革して自国を強くすること。	5	430						
暴飲暴食	ぼういんぼうしょく	度をすぎた飲食をすること。	5	430	牛飲馬食、鯨飲馬食					-
放言高論	ぼうげんこうろん	言いたい放題に自由に言論すること。	5	432						
暴言多罪	ぼうげんたざい	手紙などで言い過ぎたこと、失礼なことをわびる語。	5	432	妄言多謝					
豊年満作	ほうねんまんさく	農作物が豊かにみのり、収穫の多いこと。	5	435	五穀豊穣					
望文生義	ぼうぶんせいぎ	文字の意味をあまり考えず、見当で勝手に解釈すること。	5	436						
望聞問切	ぼうぶんもんせつ	医者の診察で重要な四つの方法。	5	436						
報本反始	ほうほんはんし	天地や祖先の恩に感謝し報いること。	5	436						
北窓三友	ほくそうのさんゆう	琴と詩と酒のこと。	5	438						
本来面目	ほんらいのめんもく	人の手を加えないありのままの本性のこと。	5	440						
真一文字	まいちもんじ	まっすぐなこと。一直線であること。	5	441						-
末法末世	まっぽうまっせ	時代がくだり、道徳が衰え乱れた末の世のこと。	5	441						
密雲不雨	みつうんふう	前兆があるのに、まだ事が起こらないこと。また、恩恵が下に行きわたらないこと。	5	442						
三日天下	みっかてんか	権力の座にあることがきわめて短期間であること。	5	443						
名字帯刀	みょうじたいとう	江戸時代、平民が家柄や功労によって姓を名のり、刀をさすことを許されたこと。	5	443	名字御免、帯刀御免					
無位無官	むいむかん	位階も官職もないこと。	5	444						
無芸大食	むげいたいしょく	これといった特技や才能もなく、ただ人並み以上に食べるだけのこと。	5	444	飲食之人、酒嚢飯袋					
無始無終	むしむじゅう	始めもなく終わりもないこと。	5	445						
無茶苦茶	むちゃくちゃ	筋道が立たないこと。また、物事のやり方が並みはずれて激しいさま。	5	446	滅茶苦茶					-
無二無三	むにむさん	ただ一つであること。転じて、ひたすら、一心不乱なさま。	5	446	唯一無二、遮二無二					
無念無想	むねんむそう	無我の境地に入り、何も考えないこと。	5	446		千思万考、多情多恨				
無病息災	むびょうそくさい	病気をしないで健康であること。	5	446	一病息災、無事息災、息災延命					-
無理往生	むりおうじょう	むりやり押しつけて従わせること。	5	447						
無理無体	むりむたい	相手のことなど考えず、むりやり強制すること。	5	448	無理往生					-
無量無辺	むりょうむへん	限りなく広大なこと。	5	448						
明鏡止水	めいきょうしすい	邪念がなくすっきりと澄みきった心境。	5	448	光風霽月、虚心坦懐					-
名実一体	めいじついったい	名称と実質、評判と実際とが一致していること。	5	448	有名無実、名存実亡、(名実愛伴う)					-
盟神探湯	めいしんたんとう	わが国の古代、真偽正邪を裁くのに神に誓って手で熱湯を探らせたこと。	5	449						
名声過実	めいせいかじつ	実際よりも評判のほうが高いこと。	5	449						
名存実亡	めいそんじつぼう	名前だけが残って実質が失われること。	5	449	有名無実					
明明白白	めいめいはくはく	はっきりとして疑う余地がないこと。	5	450		曖昧模糊、暗中模索、五里霧中、渾渾沌沌				
面向不背	めんこうふはい	どこから見ても、整っていて美しいこと。また、どこから見ても同じであること。	5	451						
面従後言	めんじゅうこうげん	面と向かってはこびへつらって従い、裏にまわっては悪口を言うこと。	5	451	面従腹背、面従背毀					
面従腹背	めんじゅうふくはい	表面だけ服従するふりをして内心は反抗していること。	5	451	面従後言、面従腹誹					
面張牛皮	めんちょうぎゅうひ	つらの皮の厚いこと。	5	451						
面目一新	めんもくいっしん	今までとは違う高い評価を得ること。また、今までとは外見や内容がすっかり変わること。	5	451	面目躍如、名誉挽回					
目指気使	もくしきし	言葉を出さず、目くばせや顔つきだけで、目下の者をこき使うこと。	5	453						
門外不出	もんがいふしゅつ	秘蔵して、人に見せたり持ち出したりしないこと。	5	453						-
門戸開放	もんこかいほう	制限を廃し、自由にすること。	5	454						-
門前成市	もんぜんせいし	人が多く集まることのたとえ。	5	454	門巷塡隘	門前雀羅				
問答無益	もんどうむえき	話し合ってもなんのたしにもならないということ。	5	454	問答無用		もんどうむやく			
問答無用	もんどうむよう	問い答えをする必要がない。	5	454	問答無益					-
薬石無効	やくせきむこう	薬や医者の治療もききめがないこと。	5	455						
約法三章	やくほうさんしょう	簡単な法やとり決めを作って民衆と約束すること。	5	455						
有言実行	ゆうげんじっこう	言ったことはかならず実行すること。	5	457	不言実行					-
右文左武	ゆうぶんさぶ	文武両道を兼ね備えること。	5	458						
有名無実	ゆうめいむじつ	名ばかり立派で実質がそれに伴わないこと。	5	458	有名亡実、名存実亡					-
油断大敵	ゆだんたいてき	注意を怠れば必ず失敗を招くから警戒せよという戒め。	5	459	油断強敵					-
用行舎蔵	ようこうしゃぞう	出処進退をわきまえていること。	5	460	出処進退					
用舎行蔵	ようしゃこうぞう	-	5	460	-	-	-	用行舎蔵		
羊腸小径	ようちょうしょうけい	羊のはらわたのように曲がりくねった山道や小道をいう。	5	461	九十九折、斗折蛇行					
夜目遠目	よめとおめ	（女の人は）はっきり見定められないときのほうが美しく見えるということ。	5	462						
落花流水	らっかりゅうせい	散る花と流れ去る水のことで、去りゆく春をいった語。転じて、人や物がおちぶれることのたとえ。また、男女の気持ちが互いに通じあうことのたとえ。	5	464						
覧古考新	らんここうしん	古きをかえりみて、新しきを考え察すること。	5	465	温故知新					
乱雑無章	らんざつむしょう	めちゃめちゃですじみちが立たないこと。	5	465	支離滅裂	理路整然				
利害得失	りがいとくしつ	自分の利益になることとそうでないこと。	5	466	利害得喪					
立身出世	りっしんしゅっせ	社会的に高い地位につき、世に認められること。	5	467	立身揚名					
理非曲直	りひきょくちょく	道理にかなったことと道理にかなわないこと。また、正しいことと間違っていること。	5	468	是非善悪、是非曲直					
流星光底	りゅうせいこうてい	勢いよく振り下ろす刀の光を流星にたとえていう。	5	468						
良玉精金	りょうぎょくせいきん	-	5	469	-	-	-	精金良玉		
量才録用	りょうさいろくよう	人それぞれの才能をよく考えて登用すること。	5	470	量才取用、黜陟幽明、適材適所	驥服塩車、大器小用、大材小用				
量体裁衣	りょうたいさいい	状況に応じて物事を現実的に処理すること。	5	471	称体裁衣、臨機応変					
良知良能	りょうちりょうのう	人間が生まれながらにそなえている知恵と才能のこと。	5	471	生知安行					
緑酒紅灯	りょくしゅこうとう	-	5	473	-	-	-	紅灯緑酒		
緑林白波	りょくりんはくは	盗賊の異名。	5	473	白波之賊、緑林好漢、梁上君子					
理路整然	りろせいぜん	話や考えの筋道がよく通っていること。	5	473	順理成章	支離滅裂、乱雑無章				
臨機応変	りんきおうへん	状況や事態の変化に応じて適切な処置をすること。	5	473	深厲浅掲、随機応変、変幻自在、量体裁衣					-
臨終正念	りんじゅうしょうねん	死に臨んで心静かに乱れないこと。	5	474						
冷暖自知	れいだんじち	自分のことは他人から言われなくても自分でわかることのたとえ。	5	475						
老少不定	ろうしょうふじょう	人間の寿命は年齢に関係なく、予知できないものだということ。	5	477	無常迅速					
老成円熟	ろうせいえんじゅく	経験が豊富で、人格・知識・技能などが十分に熟達して、ゆたかな内容を持っていること。	5	477						
老成持重	ろうせいじちょう	十分な経験があり、そのうえ慎重なこと。	5	477						
和顔愛語	わがんあいご	なごやかで親しみやすい態度のこと。	5	479	和顔悦色、和容悦色					
